"","actual","trend","pred","lower","upper","date"
"1097",NA,NA,384.200738836474,381.0303088744,387.371168798548,2019-01-01
"1098",NA,NA,378.444314890153,373.960635385895,382.927994394411,2019-01-02
"1099",NA,NA,378.474855863543,372.98330174086,383.966409986226,2019-01-03
"1100",NA,NA,378.505312497231,372.163950953575,384.846674040888,2019-01-04
"1101",NA,NA,378.85569048459,371.765530167773,385.945850801407,2019-01-05
"1102",NA,NA,380.045991204289,372.278778875208,387.813203533369,2019-01-06
"1103",NA,NA,379.286221602472,370.896322080129,387.676121124814,2019-01-07
"1104",NA,NA,378.686389358806,369.716842844804,387.655935872809,2019-01-08
"1105",NA,NA,381.006490863618,371.492471927691,390.520509799545,2019-01-09
"1106",NA,NA,381.136540651156,371.107497276975,391.165584025337,2019-01-10
"1107",NA,NA,381.066536256345,370.547593552031,391.58547896066,2019-01-11
"1108",NA,NA,383.499811375699,372.512736170449,394.486886580948,2019-01-12
"1109",NA,NA,386.779702997733,375.343591573946,398.215814421521,2019-01-13
"1110",NA,NA,385.732888549655,373.864672001286,397.601105098025,2019-01-14
"1111",NA,NA,385.946033149733,373.660858199692,398.231208099775,2019-01-15
"1112",NA,NA,384.532475665223,371.843997824872,397.220953505574,2019-01-16
"1113",NA,NA,384.475544453231,371.396157875588,397.554931030873,2019-01-17
"1114",NA,NA,384.395245220342,370.936265808208,397.854224632476,2019-01-18
"1115",NA,NA,388.441569171434,374.613382495624,402.269755847244,2019-01-19
"1116",NA,NA,388.257869922038,374.070052194652,402.445687649425,2019-01-20
"1117",NA,NA,387.1208155322,372.582233635043,401.659397429358,2019-01-21
"1118",NA,NA,390.517058207674,375.635953219632,405.398163195716,2019-01-22
"1119",NA,NA,389.629952100609,374.414009667065,404.845894534152,2019-01-23
"1120",NA,NA,389.786153788815,374.242563883918,405.329743693713,2019-01-24
"1121",NA,NA,389.182332408114,373.317840461182,405.046824355047,2019-01-25
"1122",NA,NA,384.768495970308,368.589446897625,400.947545042991,2019-01-26
"1123",NA,NA,386.644628543639,370.15700490341,403.132252183869,2019-01-27
"1124",NA,NA,385.487420927444,368.696876169642,402.277965685246,2019-01-28
"1125",NA,NA,384.345959027336,367.257846620659,401.434071434014,2019-01-29
"1126",NA,NA,382.114483281513,364.733882352465,399.49508421056,2019-01-30
"1127",NA,NA,382.666321123443,364.998059126905,400.334583119981,2019-01-31
"1128",NA,NA,381.921476720005,363.970149569204,399.872803870805,2019-02-01
"1129",NA,NA,379.983289612237,361.753279622932,398.213299601543,2019-02-02
"1130",NA,NA,382.888413191569,364.383905136523,401.392921246615,2019-02-03
"1131",NA,NA,384.786860313118,366.011855835375,403.561864790862,2019-02-04
"1132",NA,NA,380.145310881924,361.103641476513,399.186980287334,2019-02-05
"1133",NA,NA,380.293741875658,360.989080617626,399.59840313369,2019-02-06
"1134",NA,NA,380.552163933441,360.988036103722,400.11629176316,2019-02-07
"1135",NA,NA,380.777243792316,360.957036531195,400.597451053437,2019-02-08
"1136",NA,NA,379.865651486139,359.792622585869,399.938680386409,2019-02-09
"1137",NA,NA,381.074048695718,360.751334628593,401.396762762842,2019-02-10
"1138",NA,NA,382.152436848122,361.583060113426,402.721813582818,2019-02-11
"1139",NA,NA,381.314153484841,360.501029347261,402.127277622422,2019-02-12
"1140",NA,NA,383.955855820778,362.901798503639,405.009913137916,2019-02-13
"1141",NA,NA,383.770891467045,362.4786198558,405.06316307829,2019-02-14
"1142",NA,NA,382.512586671623,360.984729576346,404.040443766901,2019-02-15
"1143",NA,NA,380.137615788782,358.376716808542,401.898514769022,2019-02-16
"1144",NA,NA,377.389304149574,355.397826176657,399.380782122491,2019-02-17
"1145",NA,NA,377.157650327098,354.937979724653,399.377320929543,2019-02-18
"1146",NA,NA,374.0260009905,351.580451473443,396.471550507556,2019-02-19
"1147",NA,NA,375.671003375983,353.001819621742,398.340187130223,2019-02-20
"1148",NA,NA,375.659339099414,352.768700112244,398.549978086584,2019-02-21
"1149",NA,NA,375.764337889279,352.654360139355,398.874315639203,2019-02-22
"1150",NA,NA,374.212669343737,350.885409700072,397.539928987402,2019-02-23
"1151",NA,NA,372.08432946819,348.54178794247,395.626870993911,2019-02-24
"1152",NA,NA,371.696649441963,347.940771758683,395.452527125244,2019-02-25
